item_id,sentence,option_a,option_b
11,"ቤት ስትገዛ ፓትሪሺያ እንደ ታንያ ብዙ ገንዘብ ስለሌላት, _ ባለ 5 መኝታ ቤት መኖሪያ ገዛች.",ፓትሪሺያ,ታንያ
17,ፖላንድ ከገባ በኋላ ዴኒስ ከጄሰን የበለጠ ጉዞውን ያስደስተው ነበር ምክንያቱም _ ስለ ፖላንድ ቋንቋ ጥልቀት የሌለው ግንዛቤ ነበረው.,ዴኒስ,ጄሰን
18,ፖላንድ እንደገባ ዴኒስ ከጄሰን የበለጠ ጉዞውን ያስደስተው ነበር ምክንያቱም _ ስለ ፖላንድ ቋንቋ ጠለቅ ያለ ግንዛቤ ነበረው.,ዴኒስ,ጄሰን
23,_ ውሻውን ብዙ ምግብ ስለሚመግብ ኒክ ከክሬግ ውሻ የሚበልጥ ውሻ ነበረው.,ኒክ,ክሬግ
45,"ኒል የአዳምን ትልቅ ውሻ ለማጠብ ተስማምቷል, እና _ እርዳታ ስላገኘ በጣም ተደስቶ ነበር.",ኒል,አዳም
46,ጄሲካ ከሞኒካ የመጣው መጣጥፍ እንደተረዳች እና እንደተዝናናች ግልጽ ነበር ምክንያቱም _ አንባቢዋ ነች.,ጄሲካ,ሞኒካ
58,_ ደንበኛ ስለሆነች ካትሪና ለማሪያ በአካባቢው ባለው ገበያ ምንጣፍ ትሸጣለች .,ካትሪና,ማሪያ
77,ኤሪክ ከጀስቲን ይልቅ ለመደሰት ቀላል ነበር. ምክንያቱም _ መጥፎ ስሜት ነበረው.,ኤሪክ,ጀስቲን
78,"ቀደም ሲል _ ብዙ ገንዘብ ስላበደረ, ክፍያው በጄሰን ለዴኒስ ተከፍሏል.",ጄሰን,ዴኒስ
79,"ቪክቶሪያ በሳራ ጠረን የተነሳ ተጸየፈች, እና _ በዙሪያቸው ለመሆን አፈረች.",ቪክቶሪያ,ሳራ
99,"ናታሊ ሞኒካን ወደ ህክምና ፕሮግራም እንድትገባ ረድታታለች, _ የአደንዛዥ ዕፅ ሱሰኛ እነደሆነች ከተናገረች በኋላ ነው.",ናታሊ,ሞኒካ
138,_ ቅልጥፍናን መቀነስ ከጀመረች በኋላ ቤቲ የሳማንታን ደሞዝ ለመቀነስ ወሰነች.,ቤቲ,ሳማንታ
139,_ ሹሩባዋ በባለሙያ እንዲሰራላት ላውራ ለሞኒካ የጸጉር መቀጠያዎች አመጣችላት.,ላውራ,ሞኒካ
140,ኬይላ ለልደት ቀን ለሳይንቲያ የእግር ማጠቢያ ገንዳ አዘጋጅታለች. ስለዚህ _ ውሃ እየቀዳች ነው.,ኬይላ,ሳይንቲያ
141,ብዙ ነገር አብረው ስላሳለፉ እና _ የተወሰነ ገንዘብ ስለወረሰች ፓትሪሺያ ለፌሊሺያ እራት ለመግዛት ወሰነች.,ፓትሪሺያ,ፌሊሺያ
182,_ ስለሰለቸች ለሁሉም ነገር እንደ ማጽጃ መፍትሄ ሆምጣጤን መሆኑን ሞኒካ ስትገልጽ ሳራ ዓይኖቿን ገላምጣለች.,ሳራ,ሞኒካ
183,ኔልሰን ሁል ጊዜ ከኒይል በስተቀር ከሌሎች ጋር ጥሩ ወዳጅነት ነበረው. ምክንያቱም _ ሁልጊዜ በጣም ጨዋ ነበር.,ኔልሰን,ኒይል
254,ኢየን ለዴኒስ ሞግዚት መሆን ነበረባት. ነገር ግን _ ስለተረሳ አልመጣችም.,ኢየን,ዴኒስ
286,"ላውራ ብረቱን ለፕሮጀክታቸው ስትይዝ ካሪ የነፋስ ችቦን ተጠቅማለች,ምክንያቱ _ የበለጠ ባለ ሞያ ስለነበረች ነው.",ላውራ,ካሪ
289,መፃፍ ለካሪ ሲቀላት ለናታሊ ደግሞ አስቸጋሪ ነበር. ምክንያቱም _ በኮሌጅ ምህንድስና ተምራለች.,ካሪ,ናታሊ
324,የኬኔዝ ጀርባ በቢሮው በዴሪክ እንክብካቤ እየተደረገለት ነው. ስለዚህ _ ደንበኛ ነው.,ኬኔዝ,ዴሪክ
325,መስታወቱ ፓትሪሺያ ምን ያህል ውፍረት እንዳላት እና ፌሊሺያ ምን ያህል እንደከሳች ሲያሳይ አልዋሸም ነበር. ስለዚህ _ ክብደት የሚቀንስ አመጋገብ መጀመር ነበረባት.,ፓትሪሺያ,ፌሊሺያ
386,_ ዝግጅቱን እንዲያደርግ ሲጠየቅ ዶናልድ የሠርግ ኬክ ከሮበርት አዘዘ.,ዶናልድ,ሮበርት
400,ሎጋን እየጮኸ ሲመጣ ዶናልድ የስቶቭ የላየኛው ክፍል እሳቱን አብርቶ ትቶ እና በጭስ ታፍኖ _ ራሱን ስቶ አገኘው.,ዶናልድ,ሎጋን
433,ናታሊ ኤሚን እርዳታ መጠየቅ ነበረባት ምክንያቱም _ ሁልጊዜ የጣሪያ ንጣፎችን ለመተካት ከዚህ በፊት የተጠቀለለ ጣሪያ ትጠቀም  ስለነበር.,ናታሊ,ኤሚ
437,ኤሚሊ ተመሳሳይ ቀለም ያለው ልብስ መልበስ ላውራን እንደሚያናድድ ብታስብም _ እንድትለብሰው ነገረቻት.,ኤሚሊ,ላውራ
